nome_curso_posgrad;nome_curso_posgrad_en;sigla_curso_posgrad;campus;modalidade;habilitacao;sigla_centro;nome_centro;url_curso_posgrad;THE_classificacao
CIÊNCIA ANIMAL;ANIMAL SCIENCE;PPGCAN;Areia;Presencial;Mestrado;CCA;CENTRO DE CIÊNCIAS AGRÁRIAS;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=1925;Life Sciences
CIÊNCIA DA INFORMAÇÃO;INFORMATION SCIENCE;PPGCI;João Pessoa;Presencial;Mestrado e Doutorado;CCSA;CENTRO DE CIÊNCIAS SOCIAIS E APLICADAS;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=1871;Computer Science
CIÊNCIA DO SOLO;SOIL SCIENCE;PPGCS;Areia;Presencial;Mestrado e Doutorado;CCA;CENTRO DE CIÊNCIAS AGRÁRIAS;http://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?id=1896;Life Sciences
CIÊNCIA E ENGENHARIA DE MATERIAIS;MATERIALS SCIENCE AND ENGINEERING;PPCEM;João Pessoa;Presencial;Mestrado e Doutorado;CT;CENTRO DE TECNOLOGIA;http://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?id=1919;Engineering
CIÊNCIA E TECNOLOGIA DE ALIMENTOS;FOOD SCIENCE AND TECHNOLOGY;PPGCTA;João Pessoa;Presencial;Mestrado e Doutorado;CT;CENTRO DE TECNOLOGIA;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=1874;Engineering
CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS;POLITICAL SCIENCE AND INTERNATIONAL RELATIONS;PPGCPRI;João Pessoa;Presencial;Mestrado;CCHLA;CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=3139;Social Sciences
CIÊNCIAS AGRÁRIAS;AGROECOLOGY;PPGCAG;Bananeiras;Presencial;Mestrado;CCHSA;CENTRO DE CIÊNCIAS HUMANAS SOCIAIS E AGRÁRIAS;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=1926;Life Sciences
CIÊNCIAS BIOLÓGICAS;BIOLOGICAL SCIENCES;PPGCB;João Pessoa;Presencial;Mestrado e Doutorado;CCEN;CENTRO DE CIÊNCIAS EXATAS E DA NATUREZA;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?id=1911;Life Sciences
CIÊNCIAS CONTÁBEIS;ACCOUNTING SCIENCES;PPGCC;João Pessoa;Presencial;Mestrado e Doutorado;CCSA;CENTRO DE CIÊNCIAS SOCIAIS E APLICADAS;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=3060;Business and Economics
CIÊNCIAS DA NUTRIÇÃO;NUTRITION;PPGCN;João Pessoa;Presencial;Mestrado e Doutorado;CCS;CENTRO DE CIÊNCIAS DA SAÚDE;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=1887;Clinical and Health
CIÊNCIAS DAS RELIGIÕES;RELIGIOUS SCIENCES;PPGCR;João Pessoa;Presencial;Mestrado e Doutorado;CE;CENTRO DE EDUCAÇÃO;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=1902;Arts and Humanities
CIÊNCIAS FISIOLÓGICAS;PHYSIOLOGICAL SCIENCES;PMPGCF;João Pessoa;Presencial;Mestrado e Doutorado;CBIOTEC;CENTRO DE BIOTECNOLOGIA;http://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?id=2864;Life Sciences
CIÊNCIAS JURÍDICAS;JURIDICAL SCIENCES;PPGCJ;João Pessoa;Presencial;Mestrado e Doutorado;CCJ;CENTRO DE CIÊNCIAS JURÍDICAS;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=1891;Law
COMPUTAÇÃO, COMUNICAÇÃO E ARTES;COMPUTING, COMMUNICATION, AND ARTS;PPGCCA;João Pessoa;Presencial;Mestrado;CI;CENTRO DE INFORMÁTICA;http://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?id=3128;Arts and Humanities
COMUNICAÇÃO E CULTURAS MIDIÁTICAS;COMMUNICATION;PPGC;João Pessoa;Presencial;Mestrado;CCHLA;CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=1890;Arts and Humanities
DESENVOLVIMENTO E INOVAÇÃO TECNOLÓGICA EM MEDICAMENTOS;DRUG TECHNOLOGICAL INNOVATION AND DEVELOPMENT;PPGDITM;João Pessoa;Presencial;Doutorado;CCS;CENTRO DE CIÊNCIAS DA SAÚDE;https://sigaa.ufpb.br/sigaa/public/programa/apresentacao.jsf?lc=pt_BR&id=2302;Life Sciences
DESENVOLVIMENTO E MEIO AMBIENTE;DEVELOPMENT AND THE ENVIRONMENT;PRODEMA;João Pessoa;Presencial;Mestrado;CCEN;CENTRO DE CIÊNCIAS EXATAS E DA NATUREZA;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=1878;Social Sciences
DESENVOLVIMENTO E MEIO AMBIENTE/REDE;DEVELOPMENT AND THE ENVIRONMENT;PRODEMA;João Pessoa;Presencial;Doutorado;CCEN;CENTRO DE CIÊNCIAS EXATAS E DA NATUREZA;http://www.doutoradoprodema.ufrn.br/;Social Sciences
"DIREITOS HUMANOS; CIDADANIA E POLITICAS PÚBLICAS";HUMAN RIGHTS, CITIZENSHIP, AND PUBLIC POLICIES;PPGDH;João Pessoa;Presencial;Mestrado;CCHLA;CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=1931;Law
ECOLOGIA E MONITORAMENTO AMBIENTAL;ECOLOGY AND ENVIRONMENTAL MONITORING;PPGEMA;Rio Tinto/Mamanguape;Presencial;Mestrado Profissional;CCAE;CENTRO DE CIÊNCIAS APLICADAS E EDUCAÇÃO;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=1897;Life Sciences
ECONOMIA;ECONOMICS;PPGE;João Pessoa;Presencial;Mestrado e Doutorado;CCSA;CENTRO DE CIÊNCIAS SOCIAIS E APLICADAS;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=1875;Business and Economics
ECONOMIA DO SETOR PÚBLICO;PUBLIC SECTOR ECONOMICS;PPESP;João Pessoa;Presencial;Mestrado Profissional;CCSA;CENTRO DE CIÊNCIAS SOCIAIS E APLICADAS;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?id=2707;Business and Economics
EDUCAÇÃO;EDUCATION;PPGE;João Pessoa;Presencial;Mestrado e Doutorado;CE;CENTRO DE EDUCAÇÃO;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=1906;Education
EDUCAÇÃO FÍSICA;PHYSICAL EDUCATION;PAPGEF;João Pessoa;Presencial;Mestrado e Doutorado;CCS;CENTRO DE CIÊNCIAS DA SAÚDE;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?id=2620;Clinical and Health
ENERGIAS RENOVÁVEIS;RENEWABLE ENERGIES;PPGER;João Pessoa;Presencial;Mestrado;CEAR;CENTRO DE ENERGIAS E ALTERNATIVAS E RENOVÁVEIS;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=2706;Engineering
ENFERMAGEM;NURSING;PPGENF;João Pessoa;Presencial;Mestrado e Doutorado;CCS;CENTRO DE CIÊNCIAS DA SAÚDE;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=1913;Clinical and Health
ENGENHARIA CIVIL E AMBIENTAL;CIVIL AND ENVIRONMENTAL ENGINEERING;PPGECAM;João Pessoa;Presencial;Mestrado e Doutorado;CT;CENTRO DE TECNOLOGIA;http://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?id=2619;Engineering
ENGENHARIA DE PRODUÇÃO E SISTEMAS;SYSTEMS AND PRODUCTION ENGINEERING;PPGEPS;João Pessoa;Presencial;Mestrado;CT;CENTRO DE TECNOLOGIA;http://www.ct.ufpb.br/ppgeps;Engineering
ENGENHARIA ELÉTRICA;ELECTRICAL ENGINEERING;PPGEE;João Pessoa;Presencial;Mestrado;CEAR;CENTRO DE ENERGIAS E ALTERNATIVAS E RENOVÁVEIS;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=1885;Engineering
ENGENHARIA MECÂNICA;MECHANICAL ENGINEERING;PPGEM;João Pessoa;Presencial;Mestrado e Doutorado;CT;CENTRO DE TECNOLOGIA;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?id=1870;Engineering
ENGENHARIA QUÍMICA;CHEMICAL ENGINEERING;PPGEQ;João Pessoa;Presencial;Mestrado;CT;CENTRO DE TECNOLOGIA;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=3059;Engineering
ENSINO DE BIOLOGIA/REDE;BIOLOGY TEACHING;PROFBIO;João Pessoa;Presencial;Mestrado Profissional;CCEN;CENTRO DE CIÊNCIAS EXATAS E DA NATUREZA;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=3253;Education
ENSINO DE HISTÓRIA;HISTORY TEACHING;PROFHISTORIA;João Pessoa;Presencial;Mestrado Profissional;CCHLA;CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=3487;Education
FILOSOFIA;PHILOSOPHY;PPGF;João Pessoa;Presencial;Mestrado;CCHLA;CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=1884;Arts and Humanities
FILOSOFIA/INTEGRADO;PHILOSOPHY;PPGF;João Pessoa;Presencial;Doutorado;CCHLA;CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=1884;Arts and Humanities
FÍSICA;PHYSICS;PPGF;João Pessoa;Presencial;Mestrado;CCEN;CENTRO DE CIÊNCIAS EXATAS E DA NATUREZA;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=1892;Physical Sciences
