nome_curso_grad,nome_curso_grad_emec,nome_curso_grad_EN,campus,modalidade,habilitacao,sigla_centro,nome_centro,url_curso_grad,THE_classificacao
ENFERMAGEM,ENFERMAGEM,NURSING,João Pessoa,Presencial,Bacharelado e Licenciatura,CCS,CENTRO DE CIÊNCIAS DA SAÚDE,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626663&lc=pt_BR,Clinical and Health
ENGENHARIA AMBIENTAL,ENGENHARIA AMBIENTAL,ENVIRONMENTAL ENGINEERING,João Pessoa,Presencial,Bacharelado,CT,CENTRO DE TECNOLOGIA,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626806&lc=pt_BR,Engineering
ENGENHARIA CIVIL,ENGENHARIA CIVIL,CIVIL ENGINEERING,João Pessoa,Presencial,Bacharelado,CT,CENTRO DE TECNOLOGIA,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626738&lc=pt_BR,Engineering
ENGENHARIA DA COMPUTAÇÃO,ENGENHARIA DE ALIMENTOS,COMPUTER ENGINEERING,João Pessoa,Presencial,Bacharelado,CI,CENTRO DE INFORMÁTICA,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626865&lc=pt_BR,Engineering
ENGENHARIA DE ALIMENTOS,ENGENHARIA DE COMPUTAÇÃO,FOOD ENGINEERING,João Pessoa,Presencial,Bacharelado,CT,CENTRO DE TECNOLOGIA,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626740&lc=pt_BR,Engineering
ENGENHARIA DE ENERGIAS RENOVÁVEIS,ENGENHARIA DE ENERGIAS RENOVÁVEIS,RENEWABLE ENERGIES ENGINEERING,João Pessoa,Presencial,Bacharelado,CEAR,CENTRO DE ENERGIAS E ALTERNATIVAS E RENOVÁVEIS,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626777&lc=pt_BR,Engineering
ENGENHARIA DE MATERIAIS,ENGENHARIA DE MATERIAIS,MATERIALS ENGINEERING,João Pessoa,Presencial,Bacharelado,CT,CENTRO DE TECNOLOGIA,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626809&lc=pt_BR,Engineering
ENGENHARIA DE PRODUÇÃO,ENGENHARIA DE PRODUÇÃO,PRODUCTION ENGINEERING,João Pessoa,Presencial,Bacharelado,CT,CENTRO DE TECNOLOGIA,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626849&lc=pt_BR,Engineering
ENGENHARIA DE PRODUÇÃO MECÂNICA,ENGENHARIA DE PRODUÇÃO MECÂNICA,MECHANICAL PRODUCTION ENGINEERING,João Pessoa,Presencial,Bacharelado,CT,CENTRO DE TECNOLOGIA,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626741&lc=pt_BR,Engineering
ENGENHARIA ELÉTRICA,ENGENHARIA ELÉTRICA,ELECTRICAL ENGINEERING,João Pessoa,Presencial,Bacharelado,CEAR,CENTRO DE ENERGIAS E ALTERNATIVAS E RENOVÁVEIS,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626808&lc=pt_BR,Engineering
ENGENHARIA MECÂNICA,ENGENHARIA MECÂNICA,MECHANICAL ENGINEERING,João Pessoa,Presencial,Bacharelado,CT,CENTRO DE TECNOLOGIA,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626866&lc=pt_BR,Engineering
ENGENHARIA QUÍMICA,ENGENHARIA QUÍMICA,CHEMICAL ENGINEERING,João Pessoa,Presencial,Bacharelado,CT,CENTRO DE TECNOLOGIA,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626804&lc=pt_BR,Engineering
ESTATÍSTICA,ESTATÍSTICA,STATISTICS,João Pessoa,Presencial,Bacharelado,CCEN,CENTRO DE CIÊNCIAS EXATAS E DA NATUREZA,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626868&lc=pt_BR,Physical Sciences
FARMÁCIA,FARMÁCIA,PHARMACY,João Pessoa,Presencial,Bacharelado,CCS,CENTRO DE CIÊNCIAS DA SAÚDE,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626729&lc=pt_BR,Clinical and Health
FILOSOFIA,FILOSOFIA,PHILOSOPHY,João Pessoa,Presencial,Bacharelado e Licenciatura,CCHLA,"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES",https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626711&lc=pt_BR,Arts and Humanities
FISIOTERAPIA,FISIOTERAPIA,PHYSIOTHERAPY,João Pessoa,Presencial,Bacharelado,CCS,CENTRO DE CIÊNCIAS DA SAÚDE,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626867&lc=pt_BR,Clinical and Health
FONOAUDIOLOGIA,FONOAUDIOLOGIA,SPEECH THERAPY,João Pessoa,Presencial,Bacharelado,CCS,CENTRO DE CIÊNCIAS DA SAÚDE,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626815&lc=pt_BR,Clinical and Health
FÍSICA,FÍSICA,PHYSICS,João Pessoa,Presencial,Bacharelado e Licenciatura,CCEN,CENTRO DE CIÊNCIAS EXATAS E DA NATUREZA,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626675&lc=pt_BR,Physical Sciences
GASTRONOMIA,GASTRONOMIA,GASTRONOMY,João Pessoa,Presencial,Bacharelado,CTDR,CENTRO DE TECNOLOGIA E DESENVOLVIMENTO REGIONAL,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1976359&lc=pt_BR,Arts and Humanities
GEOGRAFIA,GEOGRAFIA,GEOGRAPHY,João Pessoa,Presencial,Licenciatura,CCEN,CENTRO DE CIÊNCIAS EXATAS E DA NATUREZA,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=4028601&lc=pt_BR,Education
GEOGRAFIA,GEOGRAFIA,GEOGRAPHY,João Pessoa,Presencial,Bacharelado,CCEN,CENTRO DE CIÊNCIAS EXATAS E DA NATUREZA,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626651&lc=pt_BR,Physical Sciences
GESTÃO PÚBLICA,GESTÃO PÚBLICA,PUBLIC MANAGEMENT,João Pessoa,Presencial,Bacharelado,CCSA,CENTRO DE CIÊNCIAS SOCIAIS E APLICADAS,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=5766890&lc=pt_BR,Social Sciences
HISTORIA/MSC,HISTÓRIA - MOVIMENTOS SOCIAIS DO CAMPO,HISTORY TEACHING,João Pessoa,Presencial,Licenciatura,CCHLA,"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES",https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=2663764&lc=pt_BR,Education
HISTÓRIA,HISTÓRIA,HISTORY,João Pessoa,Presencial,Licenciatura,CCHLA,"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES",https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626832&lc=pt_BR,Education
HOTELARIA,HOTELARIA,HOTEL MANAGEMENT,João Pessoa,Presencial,Bacharelado,CCTA,"CENTRO DE COMUNICAÇÃO, TURISMO E ARTES",https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=2291377&lc=pt_BR,Business and Economics
JORNALISMO,JORNALISMO,JOURNALISM,João Pessoa,Presencial,Bacharelado,CCTA,"CENTRO DE COMUNICAÇÃO, TURISMO E ARTES",https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626775&lc=pt_BR,Social Sciences
