SN,CN,AO,AC,UA,UN,UW,ISN,ISC,ISA,ISW
RN,Natal,Universidade,Pública Federal,UFRN,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,http://www.ufrn.br,Secretaria de Relações Internacionais,Secretaria,SRI,http://sri.ufrn.br
RO,Porto Velho,Universidade,Pública Federal,UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,http://www.unir.br,Assessoria de Relações Internacionais,Assessoria,ARI,https://ari.unir.br/homepage
RR,Boa Vista,Universidade,Pública Federal,UFRR,UNIVERSIDADE FEDERAL DE RORAIMA,http://www.ufrr.br,Coordenadoria de Relações Internacionais,Coordenadoria,CRINT,https://linktr.ee/crint
RR,Boa Vista,Universidade,Pública Estadual,UERR,UNIVERSIDADE ESTADUAL DE RORAIMA,https://www.uerr.edu.br,NF,NF,NF,NF
RS,Porto Alegre,Universidade,Pública Estadual,UERGS,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,https://www.uergs.edu.br,NF,NF,NF,NF
RS,Santa Maria,Universidade,Pública Federal,UFSM,UNIVERSIDADE FEDERAL DE SANTA MARIA,http://www.ufsm.br,Secretaria de Apoio Internacional,Secretaria,SAI,https://www.ufsm.br/orgaos-de-apoio/sai/
RS,Rio Grande,Universidade,Pública Federal,FURG,UNIVERSIDADE FEDERAL DO RIO GRANDE,http://www.furg.br,Secretaria de Relações Internacionais,Secretaria,REINTER,https://reinter.furg.br
RS,Porto Alegre,Universidade,Pública Federal,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,http://www.ufrgs.br,Secretaria de Relações Internacionais,Secretaria,RELINTER,https://www.ufrgs.br/relinter/
RS,Pelotas,Universidade,Pública Federal,UFPEL,UNIVERSIDADE FEDERAL DE PELOTAS,https://portal.ufpel.edu.br/en/,Coordenação de Relações Internacionais,Coordenadoria,CRINTER,https://wp.ufpel.edu.br/crinter/
RS,Porto Alegre,Universidade,Pública Federal,UFCSPA,UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE,https://www.ufcspa.edu.br,Escritório de Internacionalização,Escritório,EINTER,https://www.ufcspa.edu.br/sobre-a-ufcspa/internacional/escritorio-de-internacionalizacao
RS,Bagé,Universidade,Pública Federal,UNIPAMPA,UNIVERSIDADE FEDERAL DO PAMPA,https://unipampa.edu.br/portal/#,Diretoria de Assuntos Institucionais e Internacionais,Diretoria,DAIINTER,https://sites.unipampa.edu.br/daiinter/convenios-internacionais/
SC,Chapecó,Universidade,Pública Federal,UFFS,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,https://www.uffs.edu.br,Assessoria para Assuntos Internacionais,Assessoria,AAI,https://www.uffs.edu.br/pastas-ocultas/bd/assessoria-para-assuntos-internacionais/setores/assessoria-para-assuntos-internacionais-1
SC,Florianópolis,Universidade,Pública Estadual,UDESC,UNIVERSIDADE DO ESTADO DE SANTA CATARINA,https://www.udesc.br,Secretaria de Cooperação Interinstitucional e Internacional ,Secretaria,SCII,https://www.udesc.br/secretaria/scii
SC,Florianópolis,Universidade,Pública Federal,UFSC,UNIVERSIDADE FEDERAL DE SANTA CATARINA,http://www.ufsc.br,Secretaria de Relações Internacionais,Secretaria,SINTER,https://sinter.ufsc.br
SE,São Cristóvão,Universidade,Pública Federal,UFS,UNIVERSIDADE FEDERAL DE SERGIPE,http://www.ufs.br,Coordenação de Relações Internacionais,Coordenadoria,CORI,https://internacional.ufs.br/pagina/7074
SP,Santo André,Universidade,Pública Federal,UFABC,UNIVERSIDADE FEDERAL DO ABC,https://www.ufabc.edu.br,Assessoria de Relações Internacionais,Assessoria,ARI,https://ri.ufabc.edu.br
SP,São Paulo,Universidade,Pública Federal,UNIFESP,UNIVERSIDADE FEDERAL DE SÃO PAULO,http://www.unifesp.br,Secretaria de Relações Internacionais,Secretaria,SRI,https://www.unifesp.br/reitoria/sri/
SP,São Carlos,Universidade,Pública Federal,UFSCAR,UNIVERSIDADE FEDERAL DE SÃO CARLOS,http://www.ufscar.br,Secretaria Geral de Relações Internacionais,Secretaria,SRINTER,https://www.srinter.ufscar.br/pt-br
SP,São Paulo,Universidade,Pública Estadual,USP,UNIVERSIDADE DE SÃO PAULO,https://www5.usp.br,Agência USP de Cooperação Acadêmica Nacional e Internacional,Agência,AUCANI,https://internationaloffice.usp.br
SP,São Paulo,Universidade,Pública Estadual,UNESP,UNIVERSIDADE ESTADUAL PAULISTA,https://www.unesp.br,Assessoria de Relações Externas,Assessoria,AREX,https://www2.unesp.br/portal#!/arex/
SP,São Paulo,Universidade,Pública Estadual,UNIVESP,UNIVERSIDADE VIRTUAL DO ESTADO DE SÃO PAULO,https://univesp.br,NF,NF,NF,NF
SP,Campinas,Universidade,Pública Estadual,UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,https://www.unicamp.br,Diretoria Executiva de Relações Internacionais,Diretoria,DERI,http://www.internationaloffice.unicamp.br
TO,Palmas,Universidade,Pública Estadual,UNITINS,UNIVERSIDADE ESTADUAL DO TOCANTINS,https://www.unitins.br,Setor de Relações Internacionais,Setor,NF,https://www.unitins.br/nPortal/portal/page/show/relacoes-internacionais-da-unitins
TO,Palmas,Universidade,Pública Federal,UFT,UNIVERSIDADE FEDERAL DO TOCANTINS,https://ww2.uft.edu.br/,Coordenação de Relações Internacionais,Coordenadoria,RELINTER,https://ww2.uft.edu.br/index.php/coordenacao-de-relacoes-internacionais-relinter/apresentacao
