,grande_area,area,codigo
63,Ciências Exatas e da Terra,Software Básico,1.03.04.03-7
64,Ciências Exatas e da Terra,Teleinformática,1.03.04.04-5
65,Ciências Exatas e da Terra,Astronomia,1.04.00.00-1
66,Ciências Exatas e da Terra,Astronomia de Posição e Mecânica Celeste,1.04.01.00-8
67,Ciências Exatas e da Terra,Astronomia Fundamental,1.04.01.01-6
68,Ciências Exatas e da Terra,Astronomia Dinâmica,1.04.01.02-4
69,Ciências Exatas e da Terra,Astrofísica Estelar,1.04.02.00-4
70,Ciências Exatas e da Terra,Astrofísica do Meio Interestelar,1.04.03.00-0
71,Ciências Exatas e da Terra,Meio Interestelar,1.04.03.01-9
72,Ciências Exatas e da Terra,Nebulosa,1.04.03.02-7
73,Ciências Exatas e da Terra,Astrofísica Extragaláctica,1.04.04.00-7
74,Ciências Exatas e da Terra,Galáxias,1.04.04.01-5
75,Ciências Exatas e da Terra,Aglomerados de Galáxias,1.04.04.02-3
76,Ciências Exatas e da Terra,Quasares,1.04.04.03-1
77,Ciências Exatas e da Terra,Cosmologia,1.04.04.04-0
78,Ciências Exatas e da Terra,Astrofísica do Sistema Solar,1.04.05.00-3
79,Ciências Exatas e da Terra,Física Solar,1.04.05.01-1
80,Ciências Exatas e da Terra,Movimento da Terra,1.04.05.02-0
81,Ciências Exatas e da Terra,Sistema Planetário,1.04.05.03-8
82,Ciências Exatas e da Terra,Instrumentação Astronômica,1.04.06.00-0
83,Ciências Exatas e da Terra,Astronômia Ótica,1.04.06.01-8
84,Ciências Exatas e da Terra,Radioastronomia,1.04.06.02-6
85,Ciências Exatas e da Terra,Astronomia Espacial,1.04.06.03-4
86,Ciências Exatas e da Terra,Processamento de Dados Astronômicos,1.04.06.04-2
87,Ciências Exatas e da Terra,Física,1.05.00.00-6
88,Ciências Exatas e da Terra,Física Geral,1.05.01.00-2
89,Ciências Exatas e da Terra,Métodos Matemáticos da Física,1.05.01.01-0
90,Ciências Exatas e da Terra,Física Clássica e Física Quântica; Mecânica e Campos,1.05.01.02-9
91,Ciências Exatas e da Terra,Relatividade e Gravitação,1.05.01.03-7
92,Ciências Exatas e da Terra,Física Estatística e Termodinâmica,1.05.01.04-5
93,Ciências Exatas e da Terra,"Metrologia, Técnicas Gerais de Laboratório, Sistema de Instrumentação",1.05.01.05-3
94,Ciências Exatas e da Terra,Instrumentação Específica de Uso Geral em Física,1.05.01.06-1
95,Ciências Exatas e da Terra,Áreas Clássicas de Fenomenologia e suas Aplicações,1.05.02.00-9
96,Ciências Exatas e da Terra,Eletricidade e Magnetismo; Campos e Partículas Carregadas,1.05.02.01-7
97,Ciências Exatas e da Terra,Ótica,1.05.02.02-5
98,Ciências Exatas e da Terra,Acústica,1.05.02.03-3
99,Ciências Exatas e da Terra,Transferência de Calor; Processos Térmicos e Termodinâmicos,1.05.02.04-1
100,Ciências Exatas e da Terra,"Mecânica, Elasticidade e Reologia",1.05.02.05-0
101,Ciências Exatas e da Terra,Dinâmica dos Fluidos,1.05.02.06-8
102,Ciências Exatas e da Terra,Física das Partículas Elementares e Campos,1.05.03.00-5
103,Ciências Exatas e da Terra,Teoria Geral de Partículas e Campos,1.05.03.01-3
104,Ciências Exatas e da Terra,Teorias Específicas e Modelos de Interação; Sistematica de Partículas; Raios Cósmicos,1.05.03.02-1
105,Ciências Exatas e da Terra,Reações Específicas e Fenomiologia de Partículas,1.05.03.03-0
106,Ciências Exatas e da Terra,Propriedades de Partículas Específicas e Ressonâncias,1.05.03.04-8
107,Ciências Exatas e da Terra,Física Nuclear,1.05.04.00-1
108,Ciências Exatas e da Terra,Estrutura Nuclear,1.05.04.01-0
109,Ciências Exatas e da Terra,Desintegração Nuclear e Radioatividade,1.05.04.02-8
110,Ciências Exatas e da Terra,Reações Nucleares e Espalhamento Geral,1.05.04.03-6
111,Ciências Exatas e da Terra,Reações Nucleares e Espalhamento (Reações Específicas),1.05.04.04-4
112,Ciências Exatas e da Terra,Propriedades de Núcleos Específicos,1.05.04.05-2
113,Ciências Exatas e da Terra,Métodos Experimentais e Instrumentação para Partículas Elementares e Física Nuclear,1.05.04.06-0
114,Ciências Exatas e da Terra,Física Atômica e Molécular,1.05.05.00-8
115,Ciências Exatas e da Terra,Estrutura Eletrônica de Átomos e Moléculas; Teoria,1.05.05.01-6
116,Ciências Exatas e da Terra,Espectros Atômicos e Integração de Fótons,1.05.05.02-4
117,Ciências Exatas e da Terra,Espectros Moléculares e Interações de Fótons com Moléculas,1.05.05.03-2
118,Ciências Exatas e da Terra,Processos de Colisão e Interações de Átomos e Moléculas,1.05.05.04-0
119,Ciências Exatas e da Terra,Inf.Sobre Átomos e Moléculas Obtidos Experimentalmente;Instrumentação e Técnicas,1.05.05.05-9
120,Ciências Exatas e da Terra,Estudos de Átomos e Moléculas Especiais,1.05.05.06-7
121,Ciências Exatas e da Terra,"Física dos Fluidos, Física de Plasmas e Descargas Elétricas",1.05.06.00-4
122,Ciências Exatas e da Terra,Cinética e Teoria de Transporte de Fluidos; Propriedades Físicas de Gases,1.05.06.01-2
123,Ciências Exatas e da Terra,Física de Plasmas e Descargas Elétricas,1.05.06.02-0
124,Ciências Exatas e da Terra,Física da Matéria Condensada,1.05.07.00-0
125,Ciências Exatas e da Terra,Estrutura de Líquidos e Sólidos; Cristalografia,1.05.07.01-9
126,Ciências Exatas e da Terra,Propriedades Mecânicas e Acústicas da Matéria Condensada,1.05.07.02-7
127,Ciências Exatas e da Terra,Dinâmica da Rede e Estatística de Cristais,1.05.07.03-5
128,Ciências Exatas e da Terra,"Equação de Estado, Equilíbrio de Fases e Transições de Fase",1.05.07.04-3
129,Ciências Exatas e da Terra,Propriedades Térmicas da Matéria Condensada,1.05.07.05-1
130,Ciências Exatas e da Terra,Propriedades de Transportes de Matéria Condensada (Não Eletrônicas),1.05.07.06-0
131,Ciências Exatas e da Terra,"Campos Quânticos e Sólidos, Hélio, Líquido, Sólido",1.05.07.07-8
132,Ciências Exatas e da Terra,Superfícies e Interfaces; Películas e Filamentos,1.05.07.08-6
133,Ciências Exatas e da Terra,Estados Eletrônicos,1.05.07.09-4
134,Ciências Exatas e da Terra,Transp.Eletrônicos e Prop. Elétricas de Superfícies; Interfaces e Películas,1.05.07.10-8
135,Ciências Exatas e da Terra,Estruturas Eletrônicas e Propriedades Elétricas de Superfícies Interfaces e Películas,1.05.07.11-6
136,Ciências Exatas e da Terra,Supercondutividade,1.05.07.12-4
137,Ciências Exatas e da Terra,Materiais Magnéticos e Propriedades Magnéticas,1.05.07.13-2
138,Ciências Exatas e da Terra,Ressonância Mag.e Relax.Na Mat.Condens;Efeitos Mosbauer;Corr.Ang.Pertubada,1.05.07.14-0
139,Ciências Exatas e da Terra,Materiais Dielétricos e Propriedades Dielétricas,1.05.07.15-9
140,Ciências Exatas e da Terra,Prop.Óticas e Espectrosc.da Mat.Condens;Outras Inter.da Mat.Com Rad.e Part.,1.05.07.16-7
141,Ciências Exatas e da Terra,Emissão Eletrônica e Iônica por Líquidos e Sólidos; Fenômenos de Impacto,1.05.07.17-5
142,Ciências Exatas e da Terra,Química,1.06.00.00-0
143,Ciências Exatas e da Terra,Química Orgânica,1.06.01.00-7
144,Ciências Exatas e da Terra,"Estrutura, Conformação e Estereoquímica",1.06.01.01-5
145,Ciências Exatas e da Terra,Sintese Orgânica,1.06.01.02-3
146,Ciências Exatas e da Terra,Fisico-Química Orgânica,1.06.01.03-1
147,Ciências Exatas e da Terra,Fotoquímica Orgânica,1.06.01.04-0
148,Ciências Exatas e da Terra,Química dos Produtos Naturais,1.06.01.05-8
149,Ciências Exatas e da Terra,"Evolução, Sistemática e Ecologia Química",1.06.01.06-6
150,Ciências Exatas e da Terra,Polimeros e Colóides,1.06.01.07-4
151,Ciências Exatas e da Terra,Química Inorgânica,1.06.02.00-3
152,Ciências Exatas e da Terra,Campos de Coordenação,1.06.02.01-1
153,Ciências Exatas e da Terra,Não-Metais e Seus Compostos,1.06.02.02-0
154,Ciências Exatas e da Terra,Compostos Organo-Metálicos,1.06.02.03-8
155,Ciências Exatas e da Terra,Determinação de Estrutura de Compostos Inorgânicos,1.06.02.04-6
156,Ciências Exatas e da Terra,Foto-Química Inorgânica,1.06.02.05-4
157,Ciências Exatas e da Terra,Fisico Química Inorgânica,1.06.02.06-2
158,Ciências Exatas e da Terra,Química Bio-Inorgânica,1.06.02.07-0
159,Ciências Exatas e da Terra,Fisico-Química,1.06.03.00-0
160,Ciências Exatas e da Terra,Cinética Química e Catálise,1.06.03.01-8
161,Ciências Exatas e da Terra,Eletroquímica,1.06.03.02-6
162,Ciências Exatas e da Terra,Espectroscopia,1.06.03.03-4
163,Ciências Exatas e da Terra,Química de Interfaces,1.06.03.04-2
164,Ciências Exatas e da Terra,Química do Estado Condensado,1.06.03.05-0
165,Ciências Exatas e da Terra,Química Nuclear e Radioquímica,1.06.03.06-9
166,Ciências Exatas e da Terra,Química Teórica,1.06.03.07-7
167,Ciências Exatas e da Terra,Termodinâmica Química,1.06.03.08-5
168,Ciências Exatas e da Terra,Química Analítica,1.06.04.00-6
169,Ciências Exatas e da Terra,Separação,1.06.04.01-4
170,Ciências Exatas e da Terra,Métodos Óticos de Análise,1.06.04.02-2
171,Ciências Exatas e da Terra,Eletroanalítica,1.06.04.03-0
172,Ciências Exatas e da Terra,Gravimetria,1.07.02.10-5
173,Ciências Exatas e da Terra,Titimetria,1.06.04.05-7
174,Ciências Exatas e da Terra,Instrumentação Analítica,1.06.04.06-5
175,Ciências Exatas e da Terra,Análise de Traços e Química Ambiental,1.06.04.07-3
176,Ciências Exatas e da Terra,GeoCiências,1.07.00.00-5
177,Ciências Exatas e da Terra,Geologia,1.07.01.00-1
178,Ciências Exatas e da Terra,Mineralogia,1.07.01.01-0
