"ppg";"sexo";"total"
PROGRAMA DE PÓS-GRADUAÇÃO EM SAÚDE DA FAMÍLIA;F;16
PROGRAMA DE PÓS-GRADUAÇÃO EM SAÚDE DA FAMÍLIA;M;6
PROGRAMA DE PÓS-GRADUAÇÃO EM SAÚDE DA FAMÍLIA EM REDE NACIONAL;F;3
PROGRAMA DE PÓS-GRADUAÇÃO EM SAÚDE DA FAMÍLIA EM REDE NACIONAL;M;2
PROGRAMA DE PÓS-GRADUAÇÃO EM SERVIÇO SOCIAL;F;13
PROGRAMA DE PÓS-GRADUAÇÃO EM SERVIÇO SOCIAL;M;5
PROGRAMA DE PÓS-GRADUAÇÃO EM SOCIOLOGIA;F;20
PROGRAMA DE PÓS-GRADUAÇÃO EM SOCIOLOGIA;M;18
PROGRAMA DE PÓS-GRADUAÇÃO EM TECNOLOGIA AGROALIMENTAR;F;10
PROGRAMA DE PÓS-GRADUAÇÃO EM TECNOLOGIA AGROALIMENTAR;M;10
PROGRAMA DE PÓS-GRADUAÇÃO EM ZOOTECNIA;F;9
PROGRAMA DE PÓS-GRADUAÇÃO EM ZOOTECNIA;M;14
PROGRAMA EM LETRAS EM REDE NACIONAL;F;10
PROGRAMA EM LETRAS EM REDE NACIONAL;M;4
PROGRAMA EM MATEMÁTICA EM REDE NACIONAL;F;4
PROGRAMA EM MATEMÁTICA EM REDE NACIONAL;M;20
PROGRAMA INTEGRADO DE DOUTORADO EM ODONTOLOGIA;F;5
PROGRAMA INTEGRADO DE DOUTORADO EM ODONTOLOGIA;M;6
PROGRAMA INTEGRADO DE PÓS-GRADUAÇÃO EM FILOSOFIA;F;2
PROGRAMA INTEGRADO DE PÓS-GRADUAÇÃO EM FILOSOFIA;M;8
PROGRAMA INTEGRADO DE PÓS-GRADUAÇÃO EM PSICOLOGIA SOCIAL;F;6
PROGRAMA INTEGRADO DE PÓS-GRADUAÇÃO EM PSICOLOGIA SOCIAL;M;4
PROGRAMA MULTICÊNTRICO DE PÓS-GRADUAÇÃO EM CIÊNCIAS FISIOLÓGICAS;F;5
PROGRAMA MULTICÊNTRICO DE PÓS-GRADUAÇÃO EM CIÊNCIAS FISIOLÓGICAS;M;6
PROGRAMA MULTI-INSTITUCIONAL E INTER-REGIONAL DE PÓS-GRADUAÇÃO EM CIÊNCIAS CONTÁBEIS;F;2
PROGRAMA MULTI-INSTITUCIONAL E INTER-REGIONAL DE PÓS-GRADUAÇÃO EM CIÊNCIAS CONTÁBEIS;M;4
