"dpto";"sexo";"total"
CCS - DEPARTAMENTO DE FISIOLOGIA E PATOLOGIA;M;15
CCS - DEPARTAMENTO DE FISIOTERAPIA;F;23
CCS - DEPARTAMENTO DE FISIOTERAPIA;M;12
CCS - DEPARTAMENTO DE FONOAUDIOLOGIA;F;24
CCS - DEPARTAMENTO DE FONOAUDIOLOGIA;M;5
CCS - DEPARTAMENTO DE MORFOLOGIA;F;17
CCS - DEPARTAMENTO DE MORFOLOGIA;M;10
CCS - DEPARTAMENTO DE NUTRIÇÃO;F;22
CCS - DEPARTAMENTO DE NUTRIÇÃO;M;5
CCS - DEPARTAMENTO DE ODONTOLOGIA RESTAURADORA;F;14
CCS - DEPARTAMENTO DE ODONTOLOGIA RESTAURADORA;M;14
CCS - DEPARTAMENTO DE TERAPIA OCUPACIONAL;F;25
CCS - DEPARTAMENTO DE TERAPIA OCUPACIONAL;M;1
CCS - ESCOLA TÉCNICA DE SAÚDE;F;32
CCS - ESCOLA TÉCNICA DE SAÚDE;M;6
CCTA - COORDENAÇÃO DE HOTELARIA;F;1
CCTA - COORDENAÇÃO DE RADIALISMO;M;1
CCTA - DEPARTAMENTO DE;M;1
CCTA - DEPARTAMENTO DE ARTES CÊNICAS;F;12
CCTA - DEPARTAMENTO DE ARTES CÊNICAS;M;12
CCTA - DEPARTAMENTO DE ARTES VISUAIS;F;7
CCTA - DEPARTAMENTO DE ARTES VISUAIS;M;9
CCTA - DEPARTAMENTO DE COMUNICAÇÃO;F;16
CCTA - DEPARTAMENTO DE COMUNICAÇÃO;M;14
CCTA - DEPARTAMENTO DE EDUCAÇÃO MUSICAL;F;12
CCTA - DEPARTAMENTO DE EDUCAÇÃO MUSICAL;M;11
CCTA - DEPARTAMENTO DE JORNALISMO;F;11
CCTA - DEPARTAMENTO DE JORNALISMO;M;4
CCTA - DEPARTAMENTO DE MÚSICA;F;15
CCTA - DEPARTAMENTO DE MÚSICA;M;35
CCTA - DEPARTAMENTO DE TURISMO E HOTELARIA;F;13
CCTA - DEPARTAMENTO DE TURISMO E HOTELARIA;M;6
CEAR - COORDENAÇÃO DE ENGENHARIA ELÉTRICA;F;1
CEAR - DEPARTAMENTO DE ENGENHARIA DE ENERGIAS RENOVÁVEIS;F;10
CEAR - DEPARTAMENTO DE ENGENHARIA DE ENERGIAS RENOVÁVEIS;M;16
CEAR - DEPARTAMENTO DE ENGENHARIA ELÉTRICA;M;23
CE - COORDENAÇÃO DE PEDAGOGIA (EAD);M;1
CE - DEPARTAMENTO DE CIÊNCIAS DAS RELIGIÕES;F;7
CE - DEPARTAMENTO DE CIÊNCIAS DAS RELIGIÕES;M;7
CE - DEPARTAMENTO DE EDUCAÇÃO BÁSICA;F;24
CE - DEPARTAMENTO DE EDUCAÇÃO BÁSICA;M;3
CE - DEPARTAMENTO DE EDUCAÇÃO DO CAMPO;F;7
CE - DEPARTAMENTO DE EDUCAÇÃO DO CAMPO;M;1
CE - DEPARTAMENTO DE FUNDAMENTAÇÃO DA EDUCAÇÃO;F;26
CE - DEPARTAMENTO DE FUNDAMENTAÇÃO DA EDUCAÇÃO;M;20
CE - DEPARTAMENTO DE HABILITAÇÃO PEDAGÓGICA;F;35
CE - DEPARTAMENTO DE HABILITAÇÃO PEDAGÓGICA;M;8
CE - DEPARTAMENTO DE METODOLOGIA DA EDUCAÇÃO;F;21
CE - DEPARTAMENTO DE METODOLOGIA DA EDUCAÇÃO;M;22
CE - DEPARTAMENTO DE PSICOPEDAGOGIA;F;16
CE - DEPARTAMENTO DE PSICOPEDAGOGIA;M;4
CENTRO DE CIÊNCIAS APLICADAS E EDUCAÇÃO (CCAE);F;1
CENTRO DE CIÊNCIAS JURÍDICAS (CCJ);M;1
CENTRO DE CIENCIAS MEDICAS (CCM);M;1
CENTRO DE ENERGIAS E ALTERNATIVAS E RENOVÁVEIS (CEAR);M;2
CENTRO DE TECNOLOGIA (CT);F;1
CENTRO DE TECNOLOGIA E DESENVOLVIMENTO REGIONAL (CTDR);M;1
CI - DEPARTAMENTO DE COMPUTAÇÃO CIENTÍFICA;F;5
CI - DEPARTAMENTO DE COMPUTAÇÃO CIENTÍFICA;M;16
CI - DEPARTAMENTO DE INFORMÁTICA;F;6
CI - DEPARTAMENTO DE INFORMÁTICA;M;17
CI - DEPARTAMENTO DE SISTEMAS DE COMPUTAÇÃO;F;2
CI - DEPARTAMENTO DE SISTEMAS DE COMPUTAÇÃO;M;20
CT - COORDENAÇÃO DE ENGENHARIA QUÍMICA;F;1
CT - DEPARTAMENTO DE ARQUITETURA E URBANISMO;F;23
CT - DEPARTAMENTO DE ARQUITETURA E URBANISMO;M;18
CT - DEPARTAMENTO DE ENGENHARIA CIVIL E AMBIENTAL;F;10
CT - DEPARTAMENTO DE ENGENHARIA CIVIL E AMBIENTAL;M;32
CT - DEPARTAMENTO DE ENGENHARIA DE ALIMENTOS;F;9
CT - DEPARTAMENTO DE ENGENHARIA DE ALIMENTOS;M;7
