"nome";"nivel";"sexo";"total_estrangeiro"
ENGENHARIA QUÍMICA;GRADUAÇÃO;M;1
FARMÁCIA;GRADUAÇÃO;M;1
FARMÁCIA;GRADUAÇÃO;F;1
FILOSOFIA;GRADUAÇÃO;M;1
FÍSICA;GRADUAÇÃO;M;2
FISIOTERAPIA;GRADUAÇÃO;M;1
GASTRONOMIA;GRADUAÇÃO;F;1
GASTRONOMIA;GRADUAÇÃO;M;1
GEOGRAFIA;GRADUAÇÃO;M;1
HOTELARIA;GRADUAÇÃO;M;2
HOTELARIA;GRADUAÇÃO;F;1
LETRAS - ESPANHOL;GRADUAÇÃO;F;1
LETRAS - ESPANHOL;GRADUAÇÃO;M;1
LÍNGUAS ESTRANGEIRAS APLICADAS ÀS NEGOCIAÇÕES INTERNACIONAIS;GRADUAÇÃO;M;1
LÍNGUAS ESTRANGEIRAS APLICADAS ÀS NEGOCIAÇÕES INTERNACIONAIS;GRADUAÇÃO;F;2
MATEMÁTICA - EAD;GRADUAÇÃO;M;1
MATEMÁTICA (LICENCIATURA);GRADUAÇÃO;M;1
MEDICINA;GRADUAÇÃO;M;7
MEDICINA;GRADUAÇÃO;F;7
MEDICINA VETERINÁRIA;GRADUAÇÃO;F;3
MEDICINA VETERINÁRIA;GRADUAÇÃO;M;1
MÚSICA;GRADUAÇÃO;M;1
MÚSICA - BACHARELADO;GRADUAÇÃO;F;2
MUSICA POPULAR;GRADUAÇÃO;F;2
MUSICA POPULAR;GRADUAÇÃO;M;1
NUTRIÇÃO;GRADUAÇÃO;F;1
PEDAGOGIA;GRADUAÇÃO;M;1
QUÍMICA;GRADUAÇÃO;F;16
QUÍMICA;GRADUAÇÃO;M;10
RELACÕES INTERNACIONAIS;GRADUAÇÃO;M;2
RELACÕES INTERNACIONAIS;GRADUAÇÃO;F;5
TURISMO;GRADUAÇÃO;M;1
ZOOTECNIA;GRADUAÇÃO;F;4
ZOOTECNIA;GRADUAÇÃO;M;2
ANTROPOLOGIA;MESTRADO ACADÊMICO;M;1
ARQUITETURA E URBANISMO;MESTRADO ACADÊMICO;F;1
BIOLOGIA CELULAR MOLECULAR;MESTRADO ACADÊMICO;F;1
CIÊNCIAS JURÍDICAS;MESTRADO ACADÊMICO;M;2
DESENVOLVIMENTO E MEIO AMBIENTE;MESTRADO ACADÊMICO;F;1
DESENVOLVIMENTO E MEIO AMBIENTE;MESTRADO ACADÊMICO;M;1
DIREITOS HUMANOS, CIDADANIA E POLÍTICAS PÚBLICAS;MESTRADO ACADÊMICO;M;1
ENERGIAS RENOVÁVEIS;MESTRADO ACADÊMICO;M;1
LETRAS;MESTRADO ACADÊMICO;M;1
MATEMÁTICA;MESTRADO ACADÊMICO;M;1
MODELAGEM MATEMÁTICA COMPUTACIONAL;MESTRADO ACADÊMICO;M;2
MÚSICA;MESTRADO ACADÊMICO;M;1
SAÚDE COLETIVA;MESTRADO ACADÊMICO;F;1
SERVIÇO SOCIAL;MESTRADO ACADÊMICO;F;1
GESTÃO NAS ORGANIZAÇÕES APRENDENTES;MESTRADO PROFISSIONAL;F;1
